[1789174514.254803] [wn01:2870652:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
26-09-12 02:55:20,441.633 INFO  WaComMINFO - 14: Local particles:625
26-09-12 02:55:20,441.669 INFO  WaComMINFO - 15: Local particles:625
26-09-12 02:55:20,497.221 INFO  WaComMINFO - Locally processed 625 in 0.0552207 seconds (11318.2 particles/second).
26-09-12 02:55:20,497.419 INFO  WaComMINFO - Removed particles: 74 Particles: 9926
26-09-12 02:55:20,497.457 INFO  WaComMINFO - Evaluate concentration
26-09-12 02:55:20,635.424 INFO  WaComMINFO - EVALUATE sec: 0.137929
26-09-12 02:55:20,635.534 INFO  WaComMINFO - Processed 10000 in 0.196418 seconds (50911.9 particles/second).
26-09-12 02:55:20,635.562 INFO  WaComMINFO - Solver interval: start=1675933200 end=1675936800 seconds=0.19641789700000001
26-09-12 02:55:20,635.601 INFO  WaComMINFO - Saving restart:snapshots-6h/WACOMM_rst_20210701Z10
26-09-12 02:55:20,635.641 INFO  WaComMINFO - Preparing NetCDF...
26-09-12 02:55:20,636.792 INFO  WaComMINFO - Saving NetCDF in: snapshots-6h/WACOMM_rst_20210701Z10.nc
26-09-12 02:55:20,674.759 INFO  WaComMINFO - Saving history:output-6h/wacomm_his_20210701Z09.nc
26-09-12 02:55:20,674.869 INFO  WaComMINFO - Saving in: output-6h/wacomm_his_20210701Z09.nc
26-09-12 02:55:20,681.215 INFO  WaComMINFO - --------------: output-6h/wacomm_his_20210701Z09.nc
26-09-12 02:55:21,649.041 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z10.nc
26-09-12 02:55:24,109.046 INFO  WaComMINFO - ocean_time:2
26-09-12 02:55:24,109.195 INFO  WaComMINFO - s_rho:30
26-09-12 02:55:24,109.205 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:55:24,585.993 INFO  WaComMINFO - Simulating:1.67594e+09 - 20210701Z10
26-09-12 02:55:24,586.034 INFO  WaComMINFO - Sources:1
26-09-12 02:55:24,587.409 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 19926
26-09-12 02:55:24,588.599 INFO  WaComMINFO - 3: Local particles:1245
26-09-12 02:55:24,588.524 INFO  WaComMINFO - 2: Local particles:1245
26-09-12 02:55:24,588.527 INFO  WaComMINFO - 1: Local particles:1245
26-09-12 02:55:24,588.646 INFO  WaComMINFO - 4: Local particles:1245
26-09-12 02:55:24,588.716 INFO  WaComMINFO - 7: Local particles:1245
26-09-12 02:55:24,588.687 INFO  WaComMINFO - 5: Local particles:1245
26-09-12 02:55:24,588.718 INFO  WaComMINFO - 6: Local particles:1245
26-09-12 02:55:24,588.762 INFO  WaComMINFO - 8: Local particles:1245
26-09-12 02:55:24,588.861 INFO  WaComMINFO - 10: Local particles:1245
26-09-12 02:55:24,588.857 INFO  WaComMINFO - 9: Local particles:1245
26-09-12 02:55:24,588.911 INFO  WaComMINFO - 11: Local particles:1245
26-09-12 02:55:24,589.036 INFO  WaComMINFO - 12: Local particles:1245
26-09-12 02:55:24,589.078 INFO  WaComMINFO - 13: Local particles:1245
26-09-12 02:55:24,589.108 INFO  WaComMINFO - 0: Local particles:1251
26-09-12 02:55:24,589.138 INFO  WaComMINFO - 14: Local particles:1245
26-09-12 02:55:24,589.188 INFO  WaComMINFO - 15: Local particles:1245
26-09-12 02:55:24,702.058 INFO  WaComMINFO - Locally processed 1251 in 0.107808 seconds (11603.9 particles/second).
26-09-12 02:55:24,702.389 INFO  WaComMINFO - Removed particles: 923 Particles: 19003
26-09-12 02:55:24,702.404 INFO  WaComMINFO - Evaluate concentration
26-09-12 02:55:24,844.403 INFO  WaComMINFO - EVALUATE sec: 0.141974
26-09-12 02:55:24,844.450 INFO  WaComMINFO - Processed 19926 in 0.258483 seconds (77088.3 particles/second).
26-09-12 02:55:24,844.460 INFO  WaComMINFO - Solver interval: start=1675936800 end=1675940400 seconds=0.25848267800000002
26-09-12 02:55:24,844.503 INFO  WaComMINFO - Saving restart:snapshots-6h/WACOMM_rst_20210701Z11
26-09-12 02:55:24,844.587 INFO  WaComMINFO - Preparing NetCDF...
26-09-12 02:55:24,848.284 INFO  WaComMINFO - Saving NetCDF in: snapshots-6h/WACOMM_rst_20210701Z11.nc
26-09-12 02:55:24,903.098 INFO  WaComMINFO - Saving history:output-6h/wacomm_his_20210701Z10.nc
26-09-12 02:55:24,903.129 INFO  WaComMINFO - Saving in: output-6h/wacomm_his_20210701Z10.nc
26-09-12 02:55:24,903.922 INFO  WaComMINFO - --------------: output-6h/wacomm_his_20210701Z10.nc
26-09-12 02:55:26,463.717 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z11.nc
26-09-12 02:55:28,801.343 INFO  WaComMINFO - ocean_time:2
26-09-12 02:55:28,801.381 INFO  WaComMINFO - s_rho:30
26-09-12 02:55:28,801.388 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:55:29,667.545 INFO  WaComMINFO - Simulating:1.67594e+09 - 20210701Z11
26-09-12 02:55:29,667.576 INFO  WaComMINFO - Sources:1
26-09-12 02:55:29,668.096 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 29003
26-09-12 02:55:29,669.629 INFO  WaComMINFO - 1: Local particles:1812
26-09-12 02:55:29,669.694 INFO  WaComMINFO - 2: Local particles:1812
26-09-12 02:55:29,669.756 INFO  WaComMINFO - 3: Local particles:1812
26-09-12 02:55:29,669.829 INFO  WaComMINFO - 4: Local particles:1812
26-09-12 02:55:29,669.897 INFO  WaComMINFO - 5: Local particles:1812
26-09-12 02:55:29,669.966 INFO  WaComMINFO - 6: Local particles:1812
26-09-12 02:55:29,670.032 INFO  WaComMINFO - 7: Local particles:1812
26-09-12 02:55:29,670.158 INFO  WaComMINFO - 9: Local particles:1812
26-09-12 02:55:29,670.153 INFO  WaComMINFO - 8: Local particles:1812
26-09-12 02:55:29,670.232 INFO  WaComMINFO - 10: Local particles:1812
26-09-12 02:55:29,670.301 INFO  WaComMINFO - 11: Local particles:1812
26-09-12 02:55:29,670.357 INFO  WaComMINFO - 12: Local particles:1812
26-09-12 02:55:29,670.429 INFO  WaComMINFO - 13: Local particles:1812
26-09-12 02:55:29,670.496 INFO  WaComMINFO - 14: Local particles:1812
26-09-12 02:55:29,670.567 INFO  WaComMINFO - 0: Local particles:1823
26-09-12 02:55:29,670.562 INFO  WaComMINFO - 15: Local particles:1812
26-09-12 02:55:29,986.253 INFO  WaComMINFO - Locally processed 1823 in 0.281372 seconds (6478.96 particles/second).
26-09-12 02:55:29,986.824 INFO  WaComMINFO - Removed particles: 4442 Particles: 24561
26-09-12 02:55:29,986.836 INFO  WaComMINFO - Evaluate concentration
26-09-12 02:55:30,124.511 INFO  WaComMINFO - EVALUATE sec: 0.137659
26-09-12 02:55:30,124.544 INFO  WaComMINFO - Processed 29003 in 0.457017 seconds (63461.5 particles/second).
26-09-12 02:55:30,124.553 INFO  WaComMINFO - Solver interval: start=1675940400 end=1675947600 seconds=0.45701741200000001
26-09-12 02:55:30,124.572 INFO  WaComMINFO - Saving restart:snapshots-6h/WACOMM_rst_20210701Z13
26-09-12 02:55:30,124.588 INFO  WaComMINFO - Preparing NetCDF...
26-09-12 02:55:30,127.341 INFO  WaComMINFO - Saving NetCDF in: snapshots-6h/WACOMM_rst_20210701Z13.nc
26-09-12 02:55:30,138.404 INFO  WaComMINFO - Saving history:output-6h/wacomm_his_20210701Z11.nc
26-09-12 02:55:30,138.436 INFO  WaComMINFO - Saving in: output-6h/wacomm_his_20210701Z11.nc
26-09-12 02:55:30,139.087 INFO  WaComMINFO - --------------: output-6h/wacomm_his_20210701Z11.nc
26-09-12 02:55:31,413.057 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z13.nc
26-09-12 02:55:33,500.404 INFO  WaComMINFO - ocean_time:2
26-09-12 02:55:33,500.451 INFO  WaComMINFO - s_rho:30
26-09-12 02:55:33,500.458 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:55:33,821.923 INFO  WaComMINFO - Simulating:1.67595e+09 - 20210701Z13
26-09-12 02:55:33,821.957 INFO  WaComMINFO - Sources:1
26-09-12 02:55:33,823.123 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 34561
26-09-12 02:55:33,824.169 INFO  WaComMINFO - 1: Local particles:2160
26-09-12 02:55:33,824.238 INFO  WaComMINFO - 2: Local particles:2160
26-09-12 02:55:33,824.278 INFO  WaComMINFO - 4: Local particles:2160
26-09-12 02:55:33,824.313 INFO  WaComMINFO - 3: Local particles:2160
26-09-12 02:55:33,824.427 INFO  WaComMINFO - 6: Local particles:2160
26-09-12 02:55:33,824.462 INFO  WaComMINFO - 5: Local particles:2160
26-09-12 02:55:33,824.591 INFO  WaComMINFO - 7: Local particles:2160
26-09-12 02:55:33,824.587 INFO  WaComMINFO - 8: Local particles:2160
26-09-12 02:55:33,824.781 INFO  WaComMINFO - 9: Local particles:2160
26-09-12 02:55:33,824.841 INFO  WaComMINFO - 10: Local particles:2160
26-09-12 02:55:33,824.913 INFO  WaComMINFO - 11: Local particles:2160
26-09-12 02:55:33,825.019 INFO  WaComMINFO - 12: Local particles:2160
26-09-12 02:55:33,825.092 INFO  WaComMINFO - 13: Local particles:2160
26-09-12 02:55:33,825.138 INFO  WaComMINFO - 0: Local particles:2161
26-09-12 02:55:33,825.177 INFO  WaComMINFO - 14: Local particles:2160
26-09-12 02:55:33,825.257 INFO  WaComMINFO - 15: Local particles:2160
26-09-12 02:55:34,025.944 INFO  WaComMINFO - Locally processed 2161 in 0.184189 seconds (11732.5 particles/second).
26-09-12 02:55:34,027.120 INFO  WaComMINFO - Removed particles: 2168 Particles: 32393
26-09-12 02:55:34,027.137 INFO  WaComMINFO - Evaluate concentration
26-09-12 02:55:34,174.294 INFO  WaComMINFO - EVALUATE sec: 0.147137
26-09-12 02:55:34,174.330 INFO  WaComMINFO - Processed 34561 in 0.352431 seconds (98064.6 particles/second).
26-09-12 02:55:34,174.339 INFO  WaComMINFO - Solver interval: start=1675947600 end=1675951200 seconds=0.35243097800000001
26-09-12 02:55:34,174.380 INFO  WaComMINFO - Saving restart:snapshots-6h/WACOMM_rst_20210701Z14
26-09-12 02:55:34,174.402 INFO  WaComMINFO - Preparing NetCDF...
26-09-12 02:55:34,178.264 INFO  WaComMINFO - Saving NetCDF in: snapshots-6h/WACOMM_rst_20210701Z14.nc
26-09-12 02:55:34,192.231 INFO  WaComMINFO - Saving history:output-6h/wacomm_his_20210701Z13.nc
26-09-12 02:55:34,192.262 INFO  WaComMINFO - Saving in: output-6h/wacomm_his_20210701Z13.nc
26-09-12 02:55:34,193.064 INFO  WaComMINFO - --------------: output-6h/wacomm_his_20210701Z13.nc
26-09-12 02:55:35,207.404 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z14.nc
26-09-12 02:55:36,643.072 INFO  WaComMINFO - ocean_time:2
26-09-12 02:55:36,643.114 INFO  WaComMINFO - s_rho:30
26-09-12 02:55:36,643.121 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:55:36,957.215 INFO  WaComMINFO - Simulating:1.67595e+09 - 20210701Z14
26-09-12 02:55:36,957.250 INFO  WaComMINFO - Sources:1
26-09-12 02:55:36,957.691 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 42393
26-09-12 02:55:36,959.024 INFO  WaComMINFO - 1: Local particles:2649
26-09-12 02:55:36,959.113 INFO  WaComMINFO - 2: Local particles:2649
26-09-12 02:55:36,959.206 INFO  WaComMINFO - 3: Local particles:2649
26-09-12 02:55:36,959.300 INFO  WaComMINFO - 4: Local particles:2649
26-09-12 02:55:36,959.391 INFO  WaComMINFO - 5: Local particles:2649
26-09-12 02:55:36,959.573 INFO  WaComMINFO - 7: Local particles:2649
26-09-12 02:55:36,959.578 INFO  WaComMINFO - 6: Local particles:2649
26-09-12 02:55:36,959.772 INFO  WaComMINFO - 8: Local particles:2649
26-09-12 02:55:36,959.766 INFO  WaComMINFO - 9: Local particles:2649
26-09-12 02:55:36,959.864 INFO  WaComMINFO - 10: Local particles:2649
26-09-12 02:55:36,959.945 INFO  WaComMINFO - 11: Local particles:2649
26-09-12 02:55:36,960.040 INFO  WaComMINFO - 12: Local particles:2649
26-09-12 02:55:36,960.135 INFO  WaComMINFO - 13: Local particles:2649
26-09-12 02:55:36,960.221 INFO  WaComMINFO - 14: Local particles:2649
26-09-12 02:55:36,960.313 INFO  WaComMINFO - 0: Local particles:2658
26-09-12 02:55:36,960.314 INFO  WaComMINFO - 15: Local particles:2649
26-09-12 02:55:37,193.831 INFO  WaComMINFO - Locally processed 2658 in 0.223647 seconds (11884.8 particles/second).
26-09-12 02:55:37,194.670 INFO  WaComMINFO - Removed particles: 2284 Particles: 40109
26-09-12 02:55:37,194.685 INFO  WaComMINFO - Evaluate concentration
26-09-12 02:55:37,332.754 INFO  WaComMINFO - EVALUATE sec: 0.138054
26-09-12 02:55:37,332.788 INFO  WaComMINFO - Processed 42393 in 0.375591 seconds (112870 particles/second).
26-09-12 02:55:37,332.797 INFO  WaComMINFO - Solver interval: start=1675951200 end=1675954800 seconds=0.37559078699999998
26-09-12 02:55:37,332.818 INFO  WaComMINFO - Saving restart:snapshots-6h/WACOMM_rst_20210701Z15
26-09-12 02:55:37,332.834 INFO  WaComMINFO - Preparing NetCDF...
26-09-12 02:55:37,337.118 INFO  WaComMINFO - Saving NetCDF in: snapshots-6h/WACOMM_rst_20210701Z15.nc
26-09-12 02:55:37,351.956 INFO  WaComMINFO - Saving history:output-6h/wacomm_his_20210701Z14.nc
26-09-12 02:55:37,351.984 INFO  WaComMINFO - Saving in: output-6h/wacomm_his_20210701Z14.nc
26-09-12 02:55:37,352.797 INFO  WaComMINFO - --------------: output-6h/wacomm_his_20210701Z14.nc
26-09-12 02:55:37,703.839 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,765.551 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,766.835 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,767.639 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,768.604 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,773.475 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,770.449 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,777.928 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,776.043 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,774.671 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,770.385 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,771.297 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,775.333 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,778.932 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:37,779.302 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
26-09-12 02:55:38,211.702 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z15.nc
26-09-12 02:55:38,211.741 WARN  WaComMWARN - The forcing window does not contain a physical time interval; skipping it
